Country,Fossil_Fuel,Year,Percentage
Australia,Coal,1990,0 %
Australia,Coal,1991,0 %
Australia,Coal,1992,0 %
Australia,Coal,1993,0 %
Australia,Coal,1994,0 %
Australia,Coal,1995,0 %
Australia,Coal,1996,0 %
Australia,Coal,1997,0 %
Australia,Coal,1998,0 %
Australia,Coal,1999,0 %
Australia,Coal,2000,0 %
Australia,Coal,2001,0 %
Australia,Coal,2002,0 %
Australia,Coal,2003,0 %
Australia,Coal,2004,0 %
Australia,Coal,2005,0 %
Australia,Coal,2006,0 %
Australia,Coal,2007,0 %
Australia,Coal,2008,0 %
Australia,Coal,2009,0 %
Australia,Coal,2010,0 %
Australia,Coal,2011,0 %
Australia,Coal,2012,0 %
Australia,Coal,2013,0 %
Australia,Coal,2014,0 %
Australia,Coal,2015,0 %
Australia,Coal,2016,0 %
Australia,Coal,2017,0 %
Australia,Coal,2018,0 %
Australia,Coal,2019,0 %
Australia,Coal,2020,0 %
Australia,Coal,2021,0 %
Australia,Oil,1990,0 %
Australia,Oil,1991,0 %
Australia,Oil,1992,0 %
Australia,Oil,1993,0 %
Australia,Oil,1994,0 %
Australia,Oil,1995,0 %
Australia,Oil,1996,0 %
Australia,Oil,1997,0 %
Australia,Oil,1998,0 %
Australia,Oil,1999,0 %
Australia,Oil,2000,0 %
Australia,Oil,2001,0 %
Australia,Oil,2002,0 %
Australia,Oil,2003,0 %
Australia,Oil,2004,0 %
Australia,Oil,2005,0 %
Australia,Oil,2006,0 %
Australia,Oil,2007,0 %
Australia,Oil,2008,1 %
Australia,Oil,2009,1 %
Australia,Oil,2010,1 %
Australia,Oil,2011,1 %
Australia,Oil,2012,2 %
Australia,Oil,2013,2 %
Australia,Oil,2014,3 %
Australia,Oil,2015,2 %
Australia,Oil,2016,0 %
Australia,Oil,2017,1 %
Australia,Oil,2018,0 %
Australia,Oil,2019,0 %
Australia,Oil,2020,0 %
Australia,Oil,2021,0 %
Australia,Natural Gas,1990,0 %
Australia,Natural Gas,1991,0 %
Australia,Natural Gas,1992,0 %
Australia,Natural Gas,1993,0 %
Australia,Natural Gas,1994,0 %
Australia,Natural Gas,1995,0 %
Australia,Natural Gas,1996,0 %
Australia,Natural Gas,1997,0 %
Australia,Natural Gas,1998,0 %
Australia,Natural Gas,1999,0 %
Australia,Natural Gas,2000,0 %
Australia,Natural Gas,2001,0 %
Australia,Natural Gas,2002,0 %
Australia,Natural Gas,2003,0 %
Australia,Natural Gas,2004,0 %
Australia,Natural Gas,2005,0 %
Australia,Natural Gas,2006,0 %
Australia,Natural Gas,2007,0 %
Australia,Natural Gas,2008,0 %
Australia,Natural Gas,2009,0 %
Australia,Natural Gas,2010,0 %
Australia,Natural Gas,2011,0 %
Australia,Natural Gas,2012,0 %
Australia,Natural Gas,2013,0 %
Australia,Natural Gas,2014,0 %
Australia,Natural Gas,2015,0 %
Australia,Natural Gas,2016,0 %
Australia,Natural Gas,2017,0 %
Australia,Natural Gas,2018,0 %
Australia,Natural Gas,2019,0 %
Australia,Natural Gas,2020,0 %
Australia,Natural Gas,2021,0 %
Austria,Coal,1990,10 %
Austria,Coal,1991,6 %
Austria,Coal,1992,6 %
Austria,Coal,1993,1 %
Austria,Coal,1994,0 %
Austria,Coal,1995,0 %
Austria,Coal,1996,0 %
Austria,Coal,1997,0 %
Austria,Coal,1998,0 %
Austria,Coal,1999,0 %
Austria,Coal,2000,0 %
Austria,Coal,2001,0 %
Austria,Coal,2002,0 %
Austria,Coal,2003,0 %
Austria,Coal,2004,1 %
Austria,Coal,2005,1 %
Austria,Coal,2006,1 %
Austria,Coal,2007,2 %
Austria,Coal,2008,0 %
Austria,Coal,2009,0 %
Austria,Coal,2010,2 %
Austria,Coal,2011,2 %
Austria,Coal,2012,4 %
Austria,Coal,2013,1 %
Austria,Coal,2014,0 %
Austria,Coal,2015,6 %
Austria,Coal,2016,6 %
Austria,Coal,2017,4 %
Austria,Coal,2018,5 %
Austria,Coal,2019,8 %
Austria,Coal,2020,9 %
Austria,Coal,2021,9 %
Austria,Oil,1990,8 %
Austria,Oil,1991,5 %
Austria,Oil,1992,4 %
Austria,Oil,1993,3 %
Austria,Oil,1994,10 %
Austria,Oil,1995,15 %
Austria,Oil,1996,10 %
Austria,Oil,1997,10 %
Austria,Oil,1998,10 %
Austria,Oil,1999,6 %
Austria,Oil,2000,8 %
Austria,Oil,2001,9 %
Austria,Oil,2002,7 %
Austria,Oil,2003,11 %
Austria,Oil,2004,9 %
Austria,Oil,2005,16 %
Austria,Oil,2006,10 %
Austria,Oil,2007,2 %
Austria,Oil,2008,2 %
Austria,Oil,2009,3 %
Austria,Oil,2010,6 %
Austria,Oil,2011,11 %
Austria,Oil,2012,10 %
Austria,Oil,2013,10 %
Austria,Oil,2014,6 %
Austria,Oil,2015,7 %
Austria,Oil,2016,8 %
Austria,Oil,2017,5 %
Austria,Oil,2018,2 %
Austria,Oil,2019,3 %
Austria,Oil,2020,7 %
Austria,Oil,2021,6 %
Austria,Natural Gas,1990,83 %
Austria,Natural Gas,1991,75 %
Austria,Natural Gas,1992,76 %
Austria,Natural Gas,1993,75 %
Austria,Natural Gas,1994,65 %
Austria,Natural Gas,1995,77 %
Austria,Natural Gas,1996,71 %
Austria,Natural Gas,1997,69 %
Austria,Natural Gas,1998,69 %
Austria,Natural Gas,1999,64 %
Austria,Natural Gas,2000,64 %
Austria,Natural Gas,2001,60 %
Austria,Natural Gas,2002,62 %
Austria,Natural Gas,2003,69 %
Austria,Natural Gas,2004,68 %
Austria,Natural Gas,2005,70 %
Austria,Natural Gas,2006,66 %
Austria,Natural Gas,2007,65 %
Austria,Natural Gas,2008,63 %
Austria,Natural Gas,2009,81 %
Austria,Natural Gas,2010,79 %
Austria,Natural Gas,2011,91 %
Austria,Natural Gas,2012,100 %
